half,time,team,event,away_score,home_score
1,2:48,Arkansas PB,Trey Sampson Defensive Rebound.,17,38
1,2:25,Arkansas PB,Trey Sampson missed Three Point Jumper.,17,38
1,2:25,Arkansas PB,Brandon Brown Offensive Rebound.,17,38
1,2:18,Arkansas PB,Brandon Brown made Layup.,19,38
1,2:08,Baylor,Kendall Brown Turnover.,19,38
1,2:08,Arkansas PB,Shawn Williams Steal.,19,38
1,1:49,Arkansas PB,Trey Sampson missed Layup.,19,38
1,1:48,Baylor,Jonathan Tchamwa Tchatchoua Defensive Rebound.,19,38
1,1:43,Arkansas PB,Foul on Brandon Brown.,19,38
1,1:43,Baylor,Jonathan Tchamwa Tchatchoua made Free Throw.,19,39
1,1:43,Baylor,Jonathan Tchamwa Tchatchoua made Free Throw.,19,40
1,1:39,Arkansas PB,Shawn Williams missed Three Point Jumper.,19,40
1,1:39,Baylor,Jonathan Tchamwa Tchatchoua Defensive Rebound.,19,40
1,1:27,Arkansas PB,Foul on Brandon Brown.,19,40
1,1:27,Baylor,LJ Cryer made Free Throw.,19,41
1,1:27,Baylor,LJ Cryer missed Free Throw.,19,41
1,1:27,Baylor,Jonathan Tchamwa Tchatchoua Offensive Rebound.,19,41
1,1:18,Baylor,LJ Cryer missed Jumper.,19,41
1,1:18,Baylor,Jonathan Tchamwa Tchatchoua Offensive Rebound.,19,41
1,1:18,Baylor,Jonathan Tchamwa Tchatchoua made Two Point Tip Shot.,19,43
1,1:18,Arkansas PB,Foul on Trey Sampson.,19,43
1,1:18,Baylor,Jonathan Tchamwa Tchatchoua made Free Throw.,19,44
1,1:01,Arkansas PB,Shawn Williams Turnover.,19,44
1,1:01,Baylor,Jonathan Tchamwa Tchatchoua Steal.,19,44
1,0:59,Baylor,Jonathan Tchamwa Tchatchoua Turnover.,19,44
1,0:59,Arkansas PB,Brandon Brown Steal.,19,44
1,0:34,Arkansas PB,Shawn Williams made Jumper. Assisted by Brandon Brown.,21,44
1,0:02,Baylor,LJ Cryer missed Three Point Jumper.,21,44
1,0:02,Arkansas PB,Kshun Stokes Block.,21,44
1,0:02,Arkansas PB,Shawn Williams Defensive Rebound.,21,44
1,0:00,Baylor,End of 1st half,21,44
2,20:00,Arkansas PB,Jump Ball won by Arkansas-Pine Bluff,21,44
2,19:43,Arkansas PB,Jaylan Thomas Turnover.,21,44
2,19:43,Baylor,Matthew Mayer Steal.,21,44
2,19:41,Arkansas PB,Foul on Jaylan Thomas.,21,44
2,19:41,Baylor,Matthew Mayer missed Free Throw.,21,44
2,19:41,Baylor,Baylor Deadball Team Rebound.,21,44
2,19:41,Baylor,Matthew Mayer made Free Throw.,21,45
2,19:19,Arkansas PB,Isaiah Haralson missed Three Point Jumper.,21,45
2,19:19,Baylor,Flo Thamba Block.,21,45
2,19:19,Baylor,Kendall Brown Defensive Rebound.,21,45
2,19:11,Baylor,Kendall Brown made Jumper.,21,47
2,19:11,Arkansas PB,Foul on Shawn Williams.,21,47
2,19:11,Baylor,Kendall Brown made Free Throw.,21,48
2,19:05,Arkansas PB,Brandon Brown Turnover.,21,48
2,19:05,Baylor,Kendall Brown Steal.,21,48
2,19:01,Baylor,Kendall Brown made Layup.,21,50
2,18:34,Baylor,James Akinjo made Three Point Jumper.,21,53
2,17:57,Arkansas PB,Trey Sampson Turnover.,21,53
2,17:49,Baylor,James Akinjo Turnover.,21,53
2,17:23,Arkansas PB,Brandon Brown made Jumper.,23,53
2,17:05,Baylor,Kendall Brown made Jumper.,23,55
2,16:58,Arkansas PB,Kylen Milton missed Three Point Jumper.,23,55
2,16:58,Baylor,Flo Thamba Defensive Rebound.,23,55
2,16:37,Baylor,Adam Flagler missed Jumper.,23,55
2,16:37,Arkansas PB,Shawn Williams Defensive Rebound.,23,55
2,16:28,Arkansas PB,Shawn Williams made Layup.,25,55
2,16:10,Baylor,Matthew Mayer made Three Point Jumper. Assisted by James Akinjo.,25,58
2,15:48,Baylor,Foul on Flo Thamba.,25,58
2,15:48,Baylor,Official TV Timeout,25,58
2,15:48,Arkansas PB,Brandon Brown made Free Throw.,26,58
